RegionName,Date,Zori,Year,Month
60615,2015-09-30,1267.1893307348737,2015,9
60624,2015-09-30,,2015,9
60611,2015-09-30,2221.4187814406146,2015,9
60653,2015-09-30,,2015,9
60612,2015-09-30,1533.7301134170384,2015,9
60631,2015-09-30,,2015,9
60636,2015-09-30,,2015,9
60607,2015-09-30,2085.0001712497296,2015,9
60646,2015-09-30,,2015,9
60605,2015-09-30,2039.0154328281549,2015,9
60621,2015-09-30,,2015,9
60642,2015-09-30,,2015,9
60656,2015-09-30,,2015,9
60654,2015-09-30,2075.4151728519837,2015,9
60601,2015-09-30,2387.134083678336,2015,9
60661,2015-09-30,,2015,9
60606,2015-09-30,,2015,9
60603,2015-09-30,,2015,9
60629,2015-10-31,,2015,10
60618,2015-10-31,1383.6196270729783,2015,10
60639,2015-10-31,,2015,10
60647,2015-10-31,1458.3550132495377,2015,10
60632,2015-10-31,,2015,10
60617,2015-10-31,,2015,10
60608,2015-10-31,,2015,10
60625,2015-10-31,1253.7459498365288,2015,10
60623,2015-10-31,,2015,10
60634,2015-10-31,,2015,10
60657,2015-10-31,1492.4231584502998,2015,10
60614,2015-10-31,1770.647333022781,2015,10
60620,2015-10-31,888.7861840842655,2015,10
60641,2015-10-31,,2015,10
60640,2015-10-31,1246.143537536714,2015,10
60628,2015-10-31,,2015,10
60609,2015-10-31,,2015,10
60651,2015-10-31,,2015,10
60619,2015-10-31,,2015,10
60638,2015-10-31,,2015,10
60630,2015-10-31,,2015,10
60622,2015-10-31,1602.4958769280029,2015,10
60626,2015-10-31,979.0287977123128,2015,10
60613,2015-10-31,1449.43257527087,2015,10
60649,2015-10-31,790.4965712176261,2015,10
60616,2015-10-31,1273.276433577637,2015,10
60643,2015-10-31,,2015,10
60645,2015-10-31,,2015,10
60644,2015-10-31,,2015,10
60637,2015-10-31,1090.823161537111,2015,10
60659,2015-10-31,,2015,10
60660,2015-10-31,1233.6193154666598,2015,10
60652,2015-10-31,,2015,10
60610,2015-10-31,1937.4209024926088,2015,10
60615,2015-10-31,1265.8450785026098,2015,10
60624,2015-10-31,,2015,10
60611,2015-10-31,2213.233926613977,2015,10
60653,2015-10-31,,2015,10
60612,2015-10-31,,2015,10
60631,2015-10-31,,2015,10
60636,2015-10-31,,2015,10
60607,2015-10-31,2068.6072964871173,2015,10
60646,2015-10-31,,2015,10
60605,2015-10-31,2016.039216094934,2015,10
60621,2015-10-31,,2015,10
60642,2015-10-31,,2015,10
60656,2015-10-31,,2015,10
60654,2015-10-31,2062.5246120582015,2015,10
60601,2015-10-31,2325.0905438687555,2015,10
60661,2015-10-31,,2015,10
60606,2015-10-31,,2015,10
60603,2015-10-31,,2015,10
60629,2015-11-30,,2015,11
60618,2015-11-30,1383.6034690884917,2015,11
60639,2015-11-30,,2015,11
60647,2015-11-30,1444.6282570338367,2015,11
60632,2015-11-30,,2015,11
60617,2015-11-30,,2015,11
60608,2015-11-30,,2015,11
60625,2015-11-30,1235.160501501716,2015,11
60623,2015-11-30,,2015,11
60634,2015-11-30,,2015,11
60657,2015-11-30,1478.1909653255573,2015,11
60614,2015-11-30,1742.373724223266,2015,11
60620,2015-11-30,882.063507606295,2015,11
60641,2015-11-30,,2015,11
60640,2015-11-30,1250.2900597160751,2015,11
60628,2015-11-30,,2015,11
60609,2015-11-30,,2015,11
60651,2015-11-30,,2015,11
60619,2015-11-30,,2015,11
60638,2015-11-30,,2015,11
60630,2015-11-30,,2015,11
60622,2015-11-30,1590.7688634555234,2015,11
60626,2015-11-30,982.6483015155626,2015,11
60613,2015-11-30,1444.5013636552746,2015,11
60649,2015-11-30,791.1155732911834,2015,11
60616,2015-11-30,1276.2374854151592,2015,11
60643,2015-11-30,,2015,11
60645,2015-11-30,,2015,11
60644,2015-11-30,,2015,11
60637,2015-11-30,,2015,11
60659,2015-11-30,,2015,11
60660,2015-11-30,1224.8627515554028,2015,11
60652,2015-11-30,,2015,11
60610,2015-11-30,1904.5469678268516,2015,11
60615,2015-11-30,1263.999459711083,2015,11
60624,2015-11-30,,2015,11
60611,2015-11-30,2191.586329068563,2015,11
60653,2015-11-30,,2015,11
60612,2015-11-30,1501.37324555031,2015,11
60631,2015-11-30,,2015,11
60636,2015-11-30,,2015,11
60607,2015-11-30,2061.2307520041036,2015,11
60646,2015-11-30,,2015,11
60605,2015-11-30,2024.2421127335824,2015,11
60621,2015-11-30,,2015,11
60642,2015-11-30,,2015,11
60656,2015-11-30,,2015,11
60654,2015-11-30,2030.963564225852,2015,11
60601,2015-11-30,2282.6324593569507,2015,11
60661,2015-11-30,,2015,11
60606,2015-11-30,,2015,11
60603,2015-11-30,,2015,11
60629,2015-12-31,,2015,12
60618,2015-12-31,1381.6092266597118,2015,12
60639,2015-12-31,,2015,12
60647,2015-12-31,1444.4137633430994,2015,12
60632,2015-12-31,,2015,12
60617,2015-12-31,,2015,12
60608,2015-12-31,1148.3923883808502,2015,12
60625,2015-12-31,1240.003370718081,2015,12
60623,2015-12-31,,2015,12
60634,2015-12-31,,2015,12
60657,2015-12-31,1477.80845841548,2015,12
60614,2015-12-31,1731.3733530082068,2015,12
60620,2015-12-31,882.0920641719534,2015,12
60641,2015-12-31,,2015,12
60640,2015-12-31,1240.6969368440316,2015,12
60628,2015-12-31,,2015,12
60609,2015-12-31,,2015,12
60651,2015-12-31,,2015,12
60619,2015-12-31,,2015,12
60638,2015-12-31,,2015,12
60630,2015-12-31,,2015,12
60622,2015-12-31,1589.376755947579,2015,12
60626,2015-12-31,992.8809265273078,2015,12
60613,2015-12-31,1444.9250309284537,2015,12
60649,2015-12-31,794.8344717340534,2015,12
60616,2015-12-31,1283.2280973049858,2015,12
60643,2015-12-31,,2015,12
60645,2015-12-31,,2015,12
60644,2015-12-31,,2015,12
60637,2015-12-31,1084.1594654953974,2015,12
60659,2015-12-31,,2015,12
60660,2015-12-31,1229.73269104911,2015,12
60652,2015-12-31,,2015,12
60610,2015-12-31,1907.248924628021,2015,12
60615,2015-12-31,1251.4170052264435,2015,12
60624,2015-12-31,,2015,12
60611,2015-12-31,2198.712442479375,2015,12
60653,2015-12-31,,2015,12
60612,2015-12-31,1493.7061898934874,2015,12
60631,2015-12-31,,2015,12
60636,2015-12-31,,2015,12
60607,2015-12-31,2051.7270151841203,2015,12
60646,2015-12-31,,2015,12
60605,2015-12-31,2023.0430981473248,2015,12
60621,2015-12-31,,2015,12
60642,2015-12-31,,2015,12
60656,2015-12-31,,2015,12
60654,2015-12-31,2032.5659321810665,2015,12
60601,2015-12-31,2265.451148007392,2015,12
60661,2015-12-31,,2015,12
60606,2015-12-31,,2015,12
60603,2015-12-31,,2015,12
60629,2016-01-31,,2016,1
60618,2016-01-31,1388.3156567534145,2016,1
60639,2016-01-31,,2016,1
60647,2016-01-31,1477.88399666248,2016,1
60632,2016-01-31,,2016,1
60617,2016-01-31,,2016,1
60608,2016-01-31,1165.74991183347,2016,1
60625,2016-01-31,1250.1898168995958,2016,1
60623,2016-01-31,,2016,1
60634,2016-01-31,,2016,1
60657,2016-01-31,1488.8279722505597,2016,1
60614,2016-01-31,1743.2394172653926,2016,1
60620,2016-01-31,899.318149140453,2016,1
60641,2016-01-31,1079.5263281729187,2016,1
60640,2016-01-31,1247.981968079592,2016,1
60628,2016-01-31,,2016,1
60609,2016-01-31,,2016,1
60651,2016-01-31,,2016,1
60619,2016-01-31,,2016,1
60638,2016-01-31,,2016,1
60630,2016-01-31,,2016,1
60622,2016-01-31,1590.3935744858975,2016,1
60626,2016-01-31,1008.1594155788354,2016,1
60613,2016-01-31,1464.611270071544,2016,1
60649,2016-01-31,791.6184702537146,2016,1
60616,2016-01-31,1282.7079740927577,2016,1
60643,2016-01-31,,2016,1
60645,2016-01-31,1103.4676666133955,2016,1
60644,2016-01-31,,2016,1
60637,2016-01-31,1086.1975373671617,2016,1
60659,2016-01-31,,2016,1
60660,2016-01-31,1242.7871704382533,2016,1
60652,2016-01-31,,2016,1
60610,2016-01-31,1921.984432553554,2016,1
60615,2016-01-31,1258.006655227582,2016,1
60624,2016-01-31,,2016,1
60611,2016-01-31,2187.4549055630723,2016,1
60653,2016-01-31,,2016,1
60612,2016-01-31,1543.6731278530942,2016,1
60631,2016-01-31,,2016,1
60636,2016-01-31,,2016,1
60607,2016-01-31,2019.9045932731117,2016,1
60646,2016-01-31,,2016,1
60605,2016-01-31,2027.3011796037229,2016,1
60621,2016-01-31,,2016,1
60642,2016-01-31,1855.4987207403717,2016,1
60656,2016-01-31,,2016,1
60654,2016-01-31,2027.0707493337056,2016,1
60601,2016-01-31,2294.188587228782,2016,1
60661,2016-01-31,,2016,1
60606,2016-01-31,,2016,1
60603,2016-01-31,,2016,1
60629,2016-02-29,,2016,2
60618,2016-02-29,1407.8598296678756,2016,2
60639,2016-02-29,971.6845194625766,2016,2
60647,2016-02-29,1502.0978579493674,2016,2
60632,2016-02-29,,2016,2
60617,2016-02-29,,2016,2
60608,2016-02-29,1188.6232330628516,2016,2
60625,2016-02-29,1262.625373151419,2016,2
60623,2016-02-29,,2016,2
60634,2016-02-29,,2016,2
60657,2016-02-29,1510.550878948416,2016,2
60614,2016-02-29,1768.427587458703,2016,2
60620,2016-02-29,919.1560698313192,2016,2
60641,2016-02-29,1085.4563500267157,2016,2
60640,2016-02-29,1239.0368421277526,2016,2
60628,2016-02-29,,2016,2
60609,2016-02-29,,2016,2
60651,2016-02-29,,2016,2
60619,2016-02-29,,2016,2
60638,2016-02-29,,2016,2
60630,2016-02-29,,2016,2
60622,2016-02-29,1611.4000650323233,2016,2
60626,2016-02-29,1011.1834262493796,2016,2
60613,2016-02-29,1474.9646016150054,2016,2
60649,2016-02-29,796.2489155041573,2016,2
60616,2016-02-29,1294.8332005752522,2016,2
60643,2016-02-29,,2016,2
60645,2016-02-29,1111.5607485817402,2016,2
60644,2016-02-29,,2016,2
60637,2016-02-29,1098.666107134875,2016,2
60659,2016-02-29,,2016,2
60660,2016-02-29,1250.0363953312324,2016,2
60652,2016-02-29,,2016,2
60610,2016-02-29,1943.7207134625112,2016,2
60615,2016-02-29,,2016,2
60624,2016-02-29,,2016,2
60611,2016-02-29,2209.9212091519585,2016,2
60653,2016-02-29,,2016,2
60612,2016-02-29,1558.5678209374134,2016,2
60631,2016-02-29,,2016,2
60636,2016-02-29,,2016,2
60607,2016-02-29,2045.00694044436,2016,2
60646,2016-02-29,,2016,2
60605,2016-02-29,2020.2260466437804,2016,2
60621,2016-02-29,,2016,2
60642,2016-02-29,1898.7117594198992,2016,2
60656,2016-02-29,,2016,2
60654,2016-02-29,2010.237042320256,2016,2
